Batch,Category,Text,Video Count,Playlist,Is Ongoing,Latest Link
Tattvamasi,Upanishad,Kenopanishad,12,PL7qtWZUUoJN86oKPdBy3Pkn5iMN1EntEA,No,
Tattvamasi,Upanishad,Ishavasya Upanishad,9,PL7qtWZUUoJN-fHSCHo7kQjj80hjkjuuRP,No,
Tattvamasi,Upanishad,Kaivalya Upanishad,14,PL7qtWZUUoJN9NUEPQx1hvn0rxigR23DF9,No,
Tattvamasi,Prakaranam,Bhaja Govindam,12,PL7qtWZUUoJN9ggVSJ_zxHDioJeGF6YFoi,No,
Tattvamasi,Bhagawad Gita,Bhagavad Gita | Ch 6 - 9,47,PL7qtWZUUoJN_Ue_cqVP7n5heT7fvs-r2T,No,
Tattvamasi,Upanishad,Kathopanishad,54,PL7qtWZUUoJN_BBteWSdwCsIuQ9VUJuIAt,No,
Tattvamasi,Prakaranam,Upadesa Saram,12,PL7qtWZUUoJN9vsBHWF85GwYFs1ij3t3Gv,No,
Tattvamasi,Upanishad,Aitareya Upanishad,13,PL7qtWZUUoJN_cSWOwCfUCloWkLf951ksU,No,
Tattvamasi,Upanishad,Taittiriya Upanishad,55,PL7qtWZUUoJN9KzepCcnktYaSZ6N92sCGN,No,
Tattvamasi,Bhagawad Gita,Bhagavad Gita | Ch 10 - ,21,PL7qtWZUUoJN9eTodpynNoy_jorqNM54KW,Yes,7Uv1hznUH7E
Tattvamasi,Upanishad,Prashnopanishad,12,PL7qtWZUUoJN-c2-lyARGWmaOeAj8kV42N,Yes,q2D12FBHaYI
Miscellaneous,Prakaranam,Saddarshan,21,PL7qtWZUUoJN_BOC6rW90M2EONiRwcd7h3,No,
Miscellaneous,Satsang,Satsang | Various Topics,45,PL7qtWZUUoJN_KMH12mHhbkCsLZWflK7ZH,No,
Miscellaneous,Prakaranam,Sanath Sujateeyam,37,PL7qtWZUUoJN8UtO8FvvGRPtdELKLXU_27,No,
Miscellaneous,Prakaranam,Govindashtakam,3,PL7qtWZUUoJN9GGidSE9ICk5ISGuGv__Kg,No,
Miscellaneous,Prakaranam,Vedanta Sara,49,PL7qtWZUUoJN_4B5kkH1BuzlFT1tzskxsK,No,
Miscellaneous,Prakaranam,Upanishad Essence,7,PL7qtWZUUoJN9BJgpNZvwQ-EH7Qj5WDf9l,No,
Miscellaneous,Prakaranam,Value of Values,1,PL7qtWZUUoJN9471EjDMzDh61syc5ZTi7h,No,
Miscellaneous,Prakaranam,Vishnu Sahasranamam,22,PL7qtWZUUoJN_Jn16_1LYpszEGKyDt4Qel,No,
Miscellaneous,Upanishad,Kaivalya Upanishad,13,PL7qtWZUUoJN9d7whSWpzSr3XD_AIfsHYy,No,
Miscellaneous,Satsang,Tripod of Vedanata,3,PL7qtWZUUoJN-wiOs4yWeQR1JMsCDK2FNV,No,
Tattvamasi,Satsang,Introduction To Vedanta,9,PL7qtWZUUoJN8mTCfpC549vLuSkyW0gL2z,No,
Miscellaneous,Satsang,Ramayana,48,PL7qtWZUUoJN-c7QwMRJfb0AxNyKYmy4TZ,No,
